:ID;series:string
12701948;Oxford series on cognitive models and architectures
12701949;RIT / KTH / TRITA-CS
12701950;Sixth-Generation computer technology series
12701951;f-stop
12701952;Communications and Control Engineering
12701953;Erasmus research institute of management : ERIM
12701954;Communication and information sciences
12701955;Informatik
12701956;Image processing
12701957;Advances in simulation
12701958;Oxford Studies in the Evolution of Language
12701959;Prentice-Hall Software Series
12701960;Research report / RZ / IBM / IBM Research Division / Zürich Research Laboratory
12701961;IIG-Berichte / Institut für Informatik und Gesellschaft der Albert-Ludwigs-Universität Freiburg i. Br.
12701962;COE Research Monograph Series
12701963;PC professionell
12701964;Hanser Studien-Bücher der Informatik
12701965;X.media.interaktiv
12701966;Learning in doing: social,cognitive,and computational perspectives
12701967;Beck'sche Reihe
12701968;Cognitive science series
12701969;Prentice Hall international editions
12701970;Springer undergraduate mathematics series
12701971;The Enterprise Engineering Series
12701972;Ellis Horwood series in artificial intelligence
12701973;Ellis Horwood Series in Computers and their applications
12701974;Prenctice Hall International series in systems and control engineering
12701975;Infosys Press
12701976;Forschungsreport
12701977;Studien des Büros für Technikfolgen-Abschätzung beim Deutschen Bundestag
12701978;Essential series
12701979;Studies in linguistics and philosophy
12701980;Forschungsberichte / Universität Dortmund / Fachbereich Informatik
12701981;Cambridge Studies in Probability, Induction and Decision Theory
12701982;Artech House Series Bioinformatics and Biomedical Imaging
12701983;Informatik interaktiv
12701984;Artificial intelligence = Künstliche Intelligenz
12701985;Hanser-Studienbücher
12701986;Foundations of Computing Series
12701987;Artificial intelligence - Künstliche Intelligenz
12701988;Computer and communication sciences
12701989;Wiley series in pure and applied optics
12701990;Wolfram's Anwender- und Programmierhandbücher
12701991;Mathematical modeling
12701992;Texts and monographs in symbolic computation
12701993;Aachener Beiträge zur Mobil- und Telekommunikation
12701994;Lecture Notes of the Unione Matematica Italiana
12701995;Technischer Bericht : Reihe Informatik
12701996;Anwendungsorientierte Informatik
12701997;Ablex series in computational science
12701998;Addison-Wesley Kompaktführer
12701999;Narr Studienbücher
12702000;Research reports Esprit / project 7096 / CCE-CNMA
12702001;Monographs on statistics and applied probability
12702002;Cambridge mathematical library
12702003;x.media.press
12702004;Simulation Foundations, Methods and Applications
12702005;Data communications and networks
12702006;Encyclopaedia of mathematical sciences
12702007;Springer series in operations research
12702008;Addison-Wesley series on tools and techniques for computer typesetting
12702009;Forschungsberichte aus dem Institut für Werzeugmaschinen und Betriebstechnik der Universität Karlsruhe
12702010;Economic learning and social evolution
12702011;Benjamin/Cummings series in computer science
12702012;Artificial intelligence and legal reasoning
12702013;Foundations in Signal Processing, Communications and Networking
12702014;Teubner Studienbücher Mathematik
12702015;HNI-Verlagsschriftenreihe
12702016;Berichte aus der Sportwissenschaft
12702017;Computational models of cognition and perception
12702018;Cambridge tracts in mathematics
12702019;Progress in Nonlinear Differential Equations and Their Applications
12702020;Use R!
12702021;Biological and medical physics biomedical engineering
12702022;Routledge advanced texts in economics and finance
12702023;Mathematik für Anwendungen
12702024;Berichte aus dem Department für Informatik / Universität Oldenburg / Fachbereich Informatik
12702025;Birkhäuser Avanced texts
12702026;Reihe Fachwissen Telekommunikation
12702027;Communications and control engineering
12702028;Perspectives in artificial intelligence
12702029;The SunSoft Press Java series
12702030;Informatik-Management
12702031;de Gruyter studies in mathematics
12702032;Springer tracts in modern physics
12702033;McGraw-Hill series in information processing and computers
12702034;Diss. ETH
12702035;UNIX und seine Werkzeuge
12702036;Reihe Informationstechnik und Datenverarbeitung
12702037;Addison-Wesley Eiffel in practice series
12702038;Princeton series in applied mathematics
12702039;Dokumente und Berichte
12702040;CAD/CAM, robotics, and computer vision
12702041;Reports on Communications and Distributed Systems
12702042;Springer texts in statistics
12702043;SIAM monographs on mathematical modeling and computation
12702044;Linköping studies in science and technology dissertations
12702045;The Vienna series in theoretical biology
12702046;Recent research in psychology
12702047;Springer Compass International
12702048;Lectures on mathematical logic
12702049;Addison-Wesley series in artificial intelligence
12702050;Chapman and Hall / CRC cryptography and network security series
12702051;Preprint SFB 393 / Technische Universität Chemnitz - Zwickau
12702052;Ellis Horwood series in electrical and electronic engineering
12702053;Best Practices for Longitudinal Data
12702054;dpunkt.lehrbuch
12702055;Applied mathematical sciences
12702056;Skripten zur Informatik
12702057;Berichte aus der Elektrotechnik
12702058;Linguistische Arbeiten
12702059;IEEE computer society press monograph
12702060;Prentice Hall series in computational mathematics
12702061;Intelligent robots and autonomous agents
12702062;Kiel Computer Science Series
12702063;SpringerBriefs in Statistics
12702064;Bejnamin/Cummings series in computer science
12702065;ACL-MIT press series in natural language processing
12702066;Heidelberger Taschenbücher
12702067;Chapman and Hall computer science : research and practice
12702068;Lecture notes in economics and mathematical systems
12702069;Communications and control engineering series
12702070;Prentice Hall advances in computer science series
12702071;English for academic purposes series
12702072;Dissertationen zu Datenbanken und Informationssystemen
12702073;Routledge Studies in Global Competition
12702074;CRM monograph series
12702075;Ellis Horwood series in mathematics and its applications
12702076;Princeton computer science notes
12702077;Fortschritt-Berichte VDI : Reihe 21, Elektrotechnik
12702078;Lehrbücher Wirtschaftsinformatik
12702079;MIP / Universität Passau / Fakultät für Mathematik und Informatik
12702080;Multimedia systems and applications
12702081;Mathematics and Visualization
12702082;Mathematik Kompakt
12702083;Production and Logistics
12702084;SIAM studies in applied and numerical mathematics
12702085;The Eclispe series
12702086;Berichte aus der Mathematik
12702087;Cooperative information systems
12702088;Artech house universal personal communications series
12702089;Objekttechnologie
12702090;PARAT
12702091;de Gruyter series in logic and its applications
12702092;Jaakko Hintikka selected papers
12702093;International series in logic programming
12702094;Addison-Wesley series in object-oriented software engineering
12702095;Control engineering
12702096;The Dolciani mathematical expositions
12702097;Ablex computational science series
12702098;What Every Engineer Should Know About
12702099;Structural analysis in the social sciences
12702100;Information technology
12702101;IT Press information technique microsystems engineering series
12702102;Perspectives in computing
12702103;Fortschritt-Berichte VDI Reihe 20 / Rechnerunterstützte Verfahren
12702104;The expert's voice in mobile technologies
12702105;Discrete mathematics and its applications series
12702106;Prentice Hall object-oriented series
12702107;Prentice Hall series in computer science
12702108;vdf Praxis und Lehre
12702109;Integrated series in information systems
12702110;European Forest Institute Research Report
12702111;Werkstatt Bionik und Evolutionstechnik
12702112;Grundzüge der BWL
12702113;Mathematics in industry
12702114;Bioengineering and Health Science Series
12702115;Web review studio series
12702116;Astronomy and Astrophysics Library
12702117;Software engineering series
12702118;Advances in computer vision and machine intelligence
12702119;International series in software engineering
12702120;Advances in formal methods
12702121;Applied and Numerical Harmonic Analysis
12702122;Teubner-Texte zur Mathematik
12702123;The Lean Series
12702124;Technical note
12702125;Studien-Texte Informatik
12702126;Computer systems
12702127;Law, Governance and Technology Series
12702128;The Kluwer international series on biometrics
12702129;Intelligent systems series
12702130;Library and information science series
12702131;Prentice-Hall series in automatic computation
12702132;Scientific computation
12702133;Philosophical Analysis
12702134;Graduate Texts in Mathematics
12702135;The Morgan Kaufmann series in interactive 3D technology
12702136;Chapman and Hall / CRC mathematics texts
12702137;Schriftenreihe der Bundesanstalt für Arbeitsschutz : Forschung
12702138;Berliner Bibliothek zum Urheberrecht
12702139;Signal processing and its applications
12702140;Ellis Horwood series in computer communications and networking
12702141;Mitteilungen aus dem Forschungsinstitut der Deutschen Bundespost
12702142;Oxford texts in logic
12702143;Quaestiones infinitae
12702144;Problem books in mathematics
12702145;Leonardo
12702146;Springer books on professional computing
12702147;Bericht / Christian-Albrechts-Universität Kiel / Institut für Informatik und Praktische Mathematik
12702148;McGraw-Hill computer science series
12702149;Wiley interscience series in discrete mathematics and optimization
12702150;Cambridge series in statistical and probabilistic mathematics
12702151;Springer Monographs in Mathematics
12702152;Lehrbücher der Informatik
12702153;Schriften zur Informationswissenschaft
12702154;Schriftenreihe Information und Recht
12702155;Prentice Hall international series in industrial and systems engineering
12702156;The Morgan Kaufmann series in data management systems
12702157;Ellis Horwood Books in computing science
12702158;SEKI Report
12702159;Edition kes
12702160;Sustainable living series
12702161;Computational Analysis, Synthesis, and Design of Dynamic Systems
12702162;Software, environments, and tools
12702163;Embedded Systems
12702164;Network theory and applications
12702165;DoCS
12702166;Theorie der Informatik
12702167;Information revolution and global politics
12702168;Scientific papers of the Institute of Technical Cybernetics of the Technical University of Wroclaw
12702169;Chapman and Hall mathematics series
12702170;Apple technical library
12702171;Lehr- und Handbücher der Statistik
12702172;Studien zur Wirtschaftsinformatik
12702173;Forschungsberichte des Fachbereichs Informatik / Technische Universität Berlin / Fachbereich 20, Informatik
12702174;Topics in computer mathematics
12702175;Uni-text
12702176;Eingebettete, selbstorganisierende Systeme
12702177;Prentice-Hall international editions
12702178;Wiley-Teubner series in computer science
12702179;Algorithms and architectures for advanced scientific computing
12702180;Progress in IS
12702181;Computer science monographs
12702182;Prentice Hall International Editions
12702183;Addison-Wesley series in statistics
12702184;Edition Screen Multimedia
12702185;Signals and communication technology
12702186;Lecture Notes Series / Institute for Mathematical Sciences / National University of Singapore
12702187;Oldenburg computer science series
12702188;ix edition
12702189;Computer science series
12702190;Mathematical lecture note series
12702191;Theory and decision library C
12702192;Princeton studies in complexity
12702193;European semiotics
12702194;Tutorial monographs in cognitive science
12702195;Aachener Beiträge zur Wissenschafts- und Technikgeschichte des 20. Jahrhunderts
12702196;McGrawhill international series in software engineering
12702197;Psychology Research Progress
12702198;Ellis Horwood workshop series
12702199;Inside technology
12702200;Mathematik für Ingenieure
12702201;BPS textbooks
12702202;Betriebswirtschaftliche Forschung zur Unternehmensführung
12702203;Programming series
12702204;Lebensgeschichten aus der Wissenschaft
12702205;Ellis Horwood series series in interactive information systems
12702206;Emerging directions in database systems and applications
12702207;Research monographs in geographic information systems
12702208;PC-professionell
12702209;White Paper Series
12702210;Lecture notes in earth sciences
12702211;Interdisciplinary applied mathematics
12702212;Teubner Studienskripten
12702213;Spatial information systems
12702214;Palgrave Global Media Policy and Business Series
12702215;Capturing intelligence
12702216;Hildesheimer Informatik-Berichte
12702217;Informatik und Computer
12702218;The systems programming series
12702219;Prentice Hall International editions
12702220;Hochschultext
12702221;CTIT Ph. D-thesis series
12702222;Representation and Mind
12702223;Prentice Hall Series in Innovative Technology
12702224;Oxford engineering science series
12702225;English corpus linguistics
12702226;Microelectronics systems design series
12702227;Wolfram's Anwender- und Programmierhandbuch
12702228;MIT Press series in scientific computation
12702229;Springer monographs in mathematics
12702230;Series on integrated circuits and systems
12702231;Law and philosophy library
12702232;ACM Press tutorial series
12702233;Prentice Hall computer applications in electrical engineering series
12702234;Kendall's library of statistics
12702235;The Morgan Kaufmann series in multimedia information and systems
12702236;Computer security
12702237;Benjamin/Cummings Series in computer science and engineering
12702238;Boston studies in the philosophy of science
12702239;Chapman and Hall / CRC machine learning and pattern recognition series
12702240;Advances in distributed computing and middelware
12702241;Ellis Horwood Series in mathematics and its applications
12702242;Texts in statistical science series
12702243;Springer complexity
12702244;Addison-Wesley advanced Windows series
12702245;ILLC dissertation series
12702246;The MIT Press essential knowledge series
12702247;Zurich Lectures in Advanced Mathematics
12702248;C-LAB publication
12702249;Prentice Hall International Series in computer science
12702250;The Eclipse series
12702251;Digital libraries and electronic publishing
12702252;Help for Unix system administrators
12702253;Research report / RC / IBM / IBM Research Division / T. J. Watson Research Center
12702254;Mathematical modelling
12702255;Micro computer books
12702256;Digital audio and video series
12702257;Prentice Hall international series in systems and control engineering
12702258;ACM Doctoral dissertation awards
12702259;SpringerBriefs in Applied Sciences and Technology
12702260;Research Notes in Theoretical Computer Science
12702261;University Lecture Series
12702262;Explorations in language and space
12702263;Oxford lecture series in mathematics and its applications
12702264;McGrawHill international series in software engineering
12702265;A.K. Peters visualization series
12702266;Other Titles in Applied Mathematics
12702267;Computer science reviews and trends
12702268;CRC Press series on discrete mathematics and its applications
12702269;Forschungsberichte für die Unternehmenspraxis : vdf Wirtschaft
12702270;Wiley series in telecommunicatins and signal processing
12702271;ACM Distinguished dissertations
12702272;Service Science
12702273;Nachrichtentechnik
12702274;Series in high energy physics, cosmology, and gravitation
12702275;IPA dissertation series
12702276;Vieweg Studium Aufbaukurs Mathematik
12702277;Colloquium Publications
12702278;Intelligent manufacturing series
12702279;Interner Bericht / Universität Kaiserslautern / Fachbereich Informatik
12702280;Human-computer interaction series
12702281;Understanding science and technology series
12702282;Insight series in artificial intelligence
12702283;Informationstechnik
12702284;Nonconvex Optimization and Its Applications
12702285;Siam studies in applied mathematics
12702286;Entrepreneurship
12702287;Newnes know it all series
12702288;Addison-Wesley series in telecommunications
12702289;Stochastic modeling series
12702290;Advances in database research series
12702291;de Gruyter Lehrbuch
12702292;Help for system administrators
12702293;Teubner Studienbücher: Informatik
12702294;Formal approaches to computing and information technology
12702295;Lecture notes in control and information sciences
12702296;Prentice Hall series in computer networking and distributed systems
12702297;Adaptation, learning, and optimization
12702298;Probleme der Semiotik
12702299;Explorations in cognitive science
12702300;Unix power tools
12702301;Theory and Applications of Computability
12702302;Computer Monographien
12702303;Springer series in symbolic computation
12702304;Vieweg + Teubner Research
12702305;General electric series
12702306;Insiderbuch
12702307;Springer Theses: Recognizing outstanding Ph.D. Research
12702308;Trends in Linguistics. Studies and Monographs
12702309;notThenot Morgan Kaufmann series in representation and reasoning
12702310;The Kluwer international series on computer supported cooperative work
12702311;World Scientific series on nonlinear science
12702312;Canadian Mathematical Society series of monographs and advanced texts
12702313;Information Science and Statistics
12702314;Legisprudence Library
12702315;The Morgan Kaufmann Series in Computer Architecture and Design
12702316;EURASIP and Academic Press Series in Signal and Image Processing
12702317;Computer-Praxis Mathematik
12702318;DUV Datenverarbeitung
12702319;Annals of discrete mathematics
12702320;MIT Press Series in Computer Systems
12702321;Ellis Horwood series in digital and signal processing
12702322;Aspects of mathematics
12702323;Prentice Hall Silicon Systems Engineering Series
12702324;Wiley series in systems engineering and management
12702325;Key Concerns in Media Studies
12702326;Wissenschaftliche Berichte und Materialien / Bundesinstitut für Sportwissenschaft
12702327;Logic Programming
12702328;Language, speech, and communication
12702329;Advanced courses in mathematics : CRM Barcelona
12702330;BIT innovativ
12702331;History of computing
12702332;Informationstechnik und Datenverarbeitung
12702333;IFA publication
12702334;notThenot SunSoft Press Java series
12702335;John Wiley Information systems series
12702336;Advanced topics in database research
12702337;Publishing Praxis
12702338;Research reports ESPRIT / project 302
12702339;Stochastic modeling and applied probability
12702340;Academic Press international series in formal methods
12702341;Routledge Series in Information Systems
12702342;Mathematical research
12702343;Mathematics accross the curriculum
12702344;Dresdner Schriften zur Hydrologie
12702345;University lecture series
12702346;Advanced perspectives in applied computing
12702347;Advances in soft computing
12702348;Digital Press X and Motif Series
12702349;Unix programming
12702350;DUV Wirtschaftsinformatik
12702351;Theory and decision library : series D
12702352;Edition TDWI
12702353;Problem Books in Mathematics
12702354;EMS textbooks in mathematics
12702355;MedienBildungForschung
12702356;Knowledge-based systems book series
12702357;Prentice Hall Series in computer engineering
12702358;Engineering research series
12702359;Hewlett-Packard professional books
12702360;History of mathematics
12702361;Routledge Advances in Management and Business Studies
12702362;FOCUS - Computer Engineering Series
12702363;Recht und neue Medien
12702364;Johns Hopkins series in the mathematical sciences
12702365;Artificial Intelligence = Künstliche Intelligenz
12702366;Advanced series on statistical science and applied probability
12702367;American Mathematical Society translations series 2
12702368;Schriftenreihe Mensch, Informatik, Organisation
12702369;Prentice Hall International series in systems and control engineering
12702370;The SEI series in software engineering / Software Engineering Institute
12702371;Kluwer international series in engineering and computer science
12702372;Handbook of numerical analysis
12702373;Multiagent systems, artificial societies, and simulated organizations
12702374;Prentice Hall International series in Computer Science
12702375;Digital design and applications
12702376;SPIE/IEEE series on imaging science and engineering
12702377;Informatik Berichte / FernUniversität-Gesamthochschule Hagen / Fachbereich Informatik
12702378;Advances in psychology
12702379;Genetic and evolutionary computation series
12702380;Monographs on numerical analysis
12702381;Computeralgebra
12702382;Wiley series on quantitative software engineering
12702383;The Morgan Kaufmann series in computer graphics and geometric modeling
12702384;Computer software engineering series
12702385;Very short introductions
12702386;Prentice Hall Series in Computer Engineering
12702387;Linguistic inquiry
12702388;Texts in computational science and engineering
12702389;The Motorola codex basics book series
12702390;Computation in cognitive science
12702391;Programm-Information PI-45
12702392;A nutshell handbook
12702393;MikorComputer-Praxis
12702394;Spektrum Hochschultaschenbuch
12702395;Wiley series in computing
12702396;Ellis Horwood series in interactive information systems
12702397;McGraw-Hill Computer Science series
12702398;TUM
12702399;Texts in applied mathematics
12702400;Informatik Berichte
12702401;The Mathematica Guidebook
12702402;notThenot Benjamin/Cummings series in computer science
12702403;Prentice Hall International series in computer science and engineering
12702404;Reihe Informationstechnik/Nachrichtentechnik
12702405;Critical reasoning and argumentation
12702406;Forschungsberichte / Monographien / Tagungsbände
12702407;Research reports ESPRIT / project 2463 / ARGOSI
12702408;New Mathematical Monographs
12702409;Materialien zur Information und Dokumentation
12702410;Nijhoff studies in EU law
12702411;McGraw-Hill international editions: computer science series
12702412;Studies in nonlinearity
12702413;Computers and people series
12702414;Edition SEL-Stiftung
12702415;The Sun microsystems press Java series
12702416;Datenverarbeitungspraxis
12702417;The Morgan Kaufmann series in computer graphics
12702418;Wiley series in industrial software engineering practice
12702419;Progress in Computer Science and Applied Logic
12702420;Chapman and Hall / CRC Data Mining and Knowledge Discovery Series
12702421;Computational neuroscience
12702422;Neuropsychology and cognition
12702423;notThenot Addison-Wesley object technology series
12702424;River Publishers Series in Information Science and Technology
12702425;TIK-Schriftenreihe
12702426;The archivist's library
12702427;Advanced software development series
12702428;Instant notes
12702429;Ellis Hoorwood series in computers and their applications
12702430;Wiley series in systems engineering
12702431;IET Control Engineering Series
12702432;Publications of the Division of Geotechnical Engineering (IGT) / Swiss Federal Institute of Technology, Zürich
12702433;SMLI TR
12702434;Nutshell handbooks
12702435;TCW-Report
12702436;FACIT : formal approaches to computing and information technology
12702437;Physics series
12702438;Kluwer international series in operations research and management service
12702439;The SEI series in software engineering
12702440;Research and education in mathematics
12702441;Undergraduate Texts in Mathematics
12702442;Cambridge Introductions to Music
12702443;Teubner Texte zur Informatik
12702444;Princeton Series in Applied Mathematics
12702445;Quantitative Linguistics
12702446;Princeton Landmarks in Mathematics and Physics
12702447;Princeton Legacy Library
12702448;Mensch, Computer, Kommunikation - Grundwissen
12702449;EATCS monographs on theoretical computer science
12702450;Physics and astronomy online library
12702451;Polizei + Forschung
12702452;A Wiley-Interscience publication
12702453;International handbooks on information systems
12702454;UNIX network programming
12702455;Springer Series in Statistics
12702456;Lecture notes in statistics
12702457;Symbolic computation - Artificial intelligence
12702458;Mathematics in science and engineering
12702459;Prentice-Hall software series
12702460;Lextra
12702461;Elsevier computer science library
12702462;Communication and cybernetics
12702463;Symbolic computation : computer graphics
12702464;Lectures in pattern theory / U. Grenander
12702465;Focus on computer graphics
12702466;Handbook for automatic computation
12702467;Topics in applied physics
12702468;Adaptive computation and machine learning series
12702469;Fundamental studies in computer science
12702470;The Morgan Kaufmann Series in representation and reasoning
12702471;Advanced book program
12702472;Fortran numerical recipes
12702473;Programming languages
12702474;A Bradford book
12702475;Springer study edition
12702476;TELOS The electronic library of science
12702477;Scientific and engineering computation series
12702478;The computer science library : Artificial intelligence series
12702479;Teubner Studienbücher : Informatik
12702480;Notes on numerical fluid mechanics and multidisciplinary design
12702481;Topics in information systems
12702482;Cambridge approaches to linguistics
12702483;Addison-Wesley component software series
12702484;Modern analytic and computational methods in science and mathematics
12702485;Computing : Supplementum
12702486;Interscience tracts in pure and applied mathematics
12702487;ZfB : special issue
12702488;Mathematical linguistics and automatic language processing
12702489;Symbolic computation : Artificial intelligence
12702490;Addison-Wesley series in behavioral science : quantitative methods
12702491;Symbolic computation : artificial intelligence
12702492;Special topics in supercomputing
12702493;Methods of biochemical analysis
12702494;Addison-Wesley series in computer science and information processing
12702495;Design, technology, business, life
12702496;Informatik-Fachberichte
12702497;A Wiley publication in applied statistics
12702498;Penguin Modern Linguistics Readings
12702499;Optimization and neural computation series
12702500;McGraw-Hill series in systems science
12702501;ACL-MIT Press series in natural language processing
12702502;Cognitive science series : Collections
12702503;Wiley series in probability and mathematical statistics : applied probability and statistics
12702504;The advanced book program
12702505;MIT Press series on economic learning and social evolution
12702506;The Java series ... from the source
12702507;Multivariate applications series
12702508;Wiley computer publishing
12702509;VDI Report
12702510;Studien zur Wissenschafts- und Technikforschung
12702511;Advances in Computer Science and Engineering : Reports and Monographs
12702512;The Library of Essays in Contemporary Legal Theory: Second Series
12702513;Studies on eOrganisation and Market Engineering
12702514;Participation in Broadband Society
12702515;Schriften der Deutschen Vereinigung für Sportwissenschaft
12702516;New Developments in Mass Spectrometry
12702517;CRC computational science series
12702518;Computational Analysis, Synthesis, & Design Dynamic Systems
12702519;Discrete Mathematics and Its Applications
12702520;Annales Academiae Scientiarum Fennecae, Series A
12702521;IAS / Park City mathematics series
12702522;Fields Institute Communications
12702523;Contemporary Mathematics
12702524;Oxford series in human technology interaction
12702525;Series in human-technology interaction
12702526;Series in affective science
12702527;Series in systems biology
12702528;Oxford readings in philosophy
12702529;Oxford handbooks in philosophy
12702530;The Future of Learning
12702531;Advanced Information Technology
12702532;Handbooks in Operations Research and Management Science
12702533;Handbook of Statistics
12702534;Neural network systems techniques and applications
12702535;Chapman & Hall/CRC Applied Algorithms and Data Structures series
12702536;Mobile Services and Systems Series
12702537;Devices, Circuits, and Systems
12702538;Series in Computational Physics
12702539;Wireless Networks and Mobile Communications Series
12702540;Die blaue Stunde der Informatik
12702541;Computational Intelligence
12702542;Business Computing
12702543;Advances in Applied Microeconomics
12702544;Software, Environments, Tools
12702545;Geometric Design Publications
12702546;Studies in Applied Mathematics
12702547;ASA-SIAM Series on Statistics and Applied Mathematics
12702548;Software, Environments and Tools
12702549;Advances in Design and Control
12702550;Classics in Applied Mathematics
12702551;Frontiers in Applied Mathematics
12702552;CSLI Lecture Notes
12702553;Wiley Series in Probability and Statistics
12702554;Wiley Series on Parallel and Distributed Computing
12702555;Intelligent transportation systems
12702556;IEEE Press series on network management
12702557;Wiley series on bioinformatics
12702558;World Scientific Series in Health Investment and Financing
12702559;Series on University Mathematics
12702560;Series on Advances in Mathematics for Applied Sciences
12702561;Lecture Notes Series on Computing
12702562;World Scientific Series in Information Studies
12702563;Series on Industrial and Systems Engineering
12702564;Series on Machine Consciousness
12702565;Computer and Network Security
12702566;World scientific series in computer science
12702567;Singapore University of Social Sciences - World Scientific Future Economy Series
12702568;Series on Complexity Science
12702569;Primers in Electronics and Computer Science
12702570;Advances in Natural Computation
12702571;Series in mathematical biology and medicine
12702572;Modelling and Simulation in Medical Imaging
12702573;New Frontiers in Robotics
12702574;Series in Computer Vision
12702575;Series on Intelligence Science
12702576;Series in Applied and Computational Mathematics
12702577;World Scientific Series on Financial Data Analytics
12702578;Intelligent Information Systems
12702579;Series on Innovation and Knowledge Management
12702580;International Series on Advances in Solid State Electronics and Technology
12702581;East China Normal University Scientific Reports
12702582;Series on Advances in Bioinformatics and Computational Biology
12702583;Interdisciplinary Mathematical Sciences
12702584;Between Science and Economics
12702585;Series on Computers and Operations Research
12702586;Series on Knots and Everything
12702587;Studies in Josephson Supercomputers
12702588;Series in Modern Applied Mathematics
12702589;Monographs in Number Theory
12702590;Series on Analysis, Applications and Computation
12702591;Complex Systems and Interdisciplinary Science
12702592;Series on Theoretical Computer Science
12702593;IISc Research Monographs Series
12702594;Series on Innovative Intelligence
12702595;Algebra and Discrete Mathematics
12702596;World Scientific-Now Publishers Series in Business
12702597;World Scientific Series in R&D Management
12702598;World Scientific Series on the Built Environment
12702599;Computational, Numerical and Mathematical Methods in Sciences and Engineering
12702600;WSPC Book Series in Unconventional Computing
12702601;Mathematics, Computing, Language, and Life: Frontiers in Mathematical Linguistics and Language Theory
12702602;System Engineering and Operations Research
12702603;World Scientific Series on Nonlinear Science Series B
12702604;Advanced Textbooks in Mathematics
12702605;World Scientific Series in Finance
12702606;World Scientific Series on Emerging Technologies: Avram Bar-Cohen Memorial Series
12702607;Series in Automation
12702608;Series on Coding Theory and Cryptology
12702609;World Scientific Series in Digital Forensics and Cybersecurity
12702610;Problem Solving in Mathematics and Beyond
12702611;Outstanding Dissertations in the Computer Sciences
12702612;Encyclopedia of Mathematics and its Applications
12702613;London Mathematical Society Lecture Note Series
12702614;Cambridge Nonlinear Science Series
12702615;Perspectives in Logic
12702616;Cambridge Studies in Advanced Mathematics
12702617;Cambridge Tracts in Theoretical Computer Science
12702618;London Mathematical Society Student Texts
12702619;Analytical Methods for Social Research
12702620;Cambridge Series in Statistical and Probabilistic Mathematics
12702621;Natural Language Processing
12702622;Capturing Intelligence
12702623;Handbook of statistics
12702624;Handbooks in operations research and management science
12702625;Methods in Enzymology
12702626;Studies in Logic and the Foundations of Mathematics
12702627;Advances in systems control and information engineering
12702628;Psychology of Learning and Motivation
12702629;Machine Intelligence and Pattern Recognition
12702630;Studies in logic and practical reasoning
12702631;Adaptation, Learning, and Optimization
12702632;Mathematics and Its Applications
12702633;The International Series in Video Computing
12702634;SpringerBriefs on Cyber Security Systems and Networks
12702635;Springer Texts in Electrical Engineering
12702636;Genetic Algorithms and Evolutionary Computation
12702637;Perspectives in Neural Computing
12702638;Computer Architecture and Design Methodologies
12702639;Perspectives in Law, Business and Innovation
12702640;Understanding Complex Systems
12702641;Mathematics for Industry
12702642;Modeling and Simulation in Science, Engineering and Technology
12702643;CISM courses and lectures : International Centre for Mechanical Sciences
12702644;Genetic and Evolutionary Computation
12702645;BestMasters
12702646;Information Fusion and Data Science
12702647;Advanced Textbooks in Control and Signal Processing
12702648;Springer Series in Computational Mathematics
12702649;Machine Translation: Technologies and Applications
12702650;International Series in Software Engineering
12702651;Advanced Studies Mobile Research Center Bremen
12702652;Lecture Notes in Economics and Mathematical Systems
12702653;Translational Systems Sciences
12702654;Gabler Research
12702655;Computational Intelligence Methods and Applications
12702656;Springer Series in Information Sciences
12702657;International Centre for Mechanical Sciences (CISM) Book Series
12702658;Studies in Systems, Decision and Control
12702659;Health Information Science
12702660;Applications of Communications Theory
12702661;Surveys in computer science
12702662;Telecommunication Networks and Computer Systems
12702663;Studies in Choice and Welfare
12702664;Applied Mathematical Sciences
12702665;The Kluwer International Series in Software Engineering
12702666;Macmillan Computer Science Series
12702667;Terrorism, Security, and Computation
12702668;Studies in the Philosophy of Sociality
12702669;Computational Methods in Applied Sciences
12702670;The Springer International Series in Engineering and Computer Science
12702671;Simula SpringerBriefs on Computing
12702672;Topics in Information Systems
12702673;The Kluwer International Series on Discrete Event Dynamic Systems
12702674;Multimedia Systems and Applications
12702675;International Series of Numerical Mathematics
12702676;Lecture Notes in Control and Information Sciences
12702677;Computer-Supported Collaborative Learning Series
12702678;Advanced Information Processing
12702679;Management for Professionals
12702680;Atlantis Briefs in Artificial Intelligence
12702681;Springer Series in Operations Research
12702682;Atlantis Studies in Computational Finance and Financial Engineering
12702683;Stochastic Modelling and Applied Probability
12702684;Monographs on Applied Probability and Statistics
12702685;Applications of Mathematics
12702686;International Series on Computer Entertainment and Media Technology
12702687;High-Performance Computing Series
12702688;Studies in Big Data
12702689;Theory and Decision Library
12702690;Algorithms and Combinatorics
12702691;Text, Speech and Language Technology
12702692;Signals and Communication Technology
12702693;Springer Optimization and Its Applications
12702694;The Springer Series on Challenges in Machine Learning
12702695;Space and Society
12702696;Applied Optimization
12702697;The Kluwer/Springer International Series in Engineering and Computer Science
12702698;Progress in Theoretical Computer Science
12702699;Springer Computer Science
12702700;Digital Signal Processing
12702701;Web-Scale Workflow and Analytics
12702702;Semantic Web And Beyond
12702703;Control Engineering
12702704;Collection IRIS
12702705;Edition HMD
12702706;Communications and Control Engineering Series
12702707;Advances in Computer Science and Technology
12702708;CMS Books in Mathematics
12702709;Multiagent Systems, Artificial Societies, and Simulated Organizations
12702710;Springer Theses
12702711;Texts in Applied Mathematics
