id	title	page_start	page_end	year	citations	conference	keywords
1091	Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map	89	93	2013	1	International Conference on Human-Computer Interaction	['Telecommunications network', 'Computer science', 'Mind map', 'Human–computer interaction', 'Multimedia', 'Empirical research', 'Comprehension', 'Communications protocol']
1388	Further Results on Independence in Direct-Product Graphs.			2000	1	Ars Combinatoria	['Graph', 'Discrete mathematics', 'Combinatorics', 'Direct product', 'Mathematics']
1674	A methodology for the physically accurate visualisation of roman polychrome statuary	137	144	2011	1	International Conference on Virtual Reality	['Statue', 'Engineering drawing', 'Virtual reconstruction', 'Computer science', 'Visualization', 'Polychrome', 'Artificial intelligence']
1688	Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction	597	602	2009	6	Pattern Recognition and Machine Intelligence	['Autoregressive–moving-average model', 'Computer science', 'Support vector machine', 'Neural network nn', 'Artificial intelligence', 'Financial time series prediction', 'Autoregressive conditional heteroskedasticity', 'Artificial neural network', 'Machine learning']
5411	COMPARING GNG3D AND QUADRIC ERROR METRICS METHODS TO SIMPLIFY 3D MESHES	99	102	2009	0	International Conference on Computer Graphics Theory and Applications	['Computer vision', 'Polygon mesh', 'Computer graphics (images)', 'Computer science', 'Artificial intelligence', 'Quadric']
5781	Vectorial fast correlation attacks.			2004	2	IACR Cryptology ePrint Archive	['Pattern recognition', 'Computer science', 'Artificial intelligence', 'Correlation attack']
6522	Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits	331	335	2011	0	International Symposium on Computer and Information Sciences	"['Peak signal-to-noise ratio', 'Authentication', 'Secret sharing', 'Computer science', 'Computer network', 'Image sharing', 'Theoretical computer science', 'Verifiable secret sharing', 'Artificial intelligence', 'Steganography', 'Pattern recognition', ""Shamir's Secret Sharing"", 'Homomorphic secret sharing']"
6762	A Self-Stabilizing Algorithm for Finding the Cutting Center of a Tree.	1460	1463	2003	0	Parallel and Distributed Processing Techniques and Applications	['Computer science', 'Parallel computing']
8373	Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration	498	508	2012	0	Asian Conference on Intelligent Information and Database Systems	['Ubiquitous commerce', 'Services computing', 'Data mining', 'Computational intelligence', 'Computer science', 'Formal development', 'Context awareness', 'Context-aware pervasive systems', 'Utility computing', 'Ubiquitous computing']
8763	Fur Visualisation for Computer Game Engines and Real-Time Rendering	41	48	2014	0	International Conference on Computer Vision and Graphics	['Computer graphics (images)', 'Computer science', 'Visualization', 'Real-time rendering', 'Scheduling (production processes)', 'Rendering (computer graphics)']
9415	Identifying Psychological Theme Words from Emotion Annotated Interviews	728	739	2013	0	International Conference on Mining Intelligence and Knowledge Exploration	['Sadness', 'Rule-based system', 'Ranking', 'Disgust', 'Shame', 'Psychology', 'Keyword spotting', 'Graphical user interface', 'Anger', 'Natural language processing', 'Artificial intelligence']
11068	Multisymplectic Spectral Methods for the Gross-Pitaevskii Equation	486	495	2002	2	International Conference on Computational Science	['Gross–Pitaevskii equation', 'Hamiltonian (quantum mechanics)', 'Mathematical analysis', 'Schrödinger equation', 'Periodic boundary conditions', 'Hamiltonian mechanics', 'Spectral method', 'Wave equation', 'Nonlinear Schrödinger equation', 'Mathematics']
11796	The Role of the Board of Directors in IT Governance: A Review and Agenda for Research			2006	13	Americas Conference on Information Systems	['Corporate governance', 'Computer science', 'Public relations', 'Extant taxon']
11895	Speech training systems using lateral shapes of vocal tract and F1-F2 diagram for hearing-impaired children	800	802	1979	1	International Joint Conference on Artificial Intelligence	['Speech training', 'Computer science', 'Microprocessor', 'Minicomputer', 'Diagram', 'Speech recognition', 'Vowel', 'Formant', 'Vocal tract']
12993	Software Evolution through Transformations.	1	5	2003	2	Electronic Notes in Theoretical Computer Science	['Software engineering', 'Computer science', 'Theoretical computer science', 'Software evolution']
13070	Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices	305	314	2008	2	Joint Conference on Knowledge-Based Software Engineering	['Decision-making models', 'Computer science', 'Emotion recognition', 'Mobile device', 'Human–computer interaction', 'Knowledge engineering', 'Affect (psychology)', 'Multimedia', 'Microphone', 'Modal']
13205	Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.			2002	4	Conference of the International Speech Communication Association	['Speech corpus', 'Czech', 'Speech synthesis', 'Computer science', 'Speech recognition', 'VoxForge', 'Speech technology']
13407	A Platform for Disaster Response Planning with Interdependency Simulation Functionality	183	197	2013	6	International Conference on Critical Infrastructure Protection	['Interdependence', 'Systems engineering', 'Planning process', 'Power grid', 'SCADA', 'Engineering']
14870	A COMPUTATIONAL SALIENCY MODEL INTEGRATING SACCADE PROGRAMMING	57	64	2009	6	International Conference on Bio-inspired Systems and Signal Processing	['Computer vision', 'Computer science', 'Salience (neuroscience)', 'Artificial intelligence', 'Saccade']
15548	Cleaneval: a Competition for Cleaning Web Pages			2008	66	Language Resources and Evaluation	['Web design', 'Web development', 'World Wide Web', 'Web intelligence', 'Web page', 'Semantic Web Stack', 'Computer science', 'Web standards', 'Web 2.0', 'HTML', 'Multimedia']
15883	Leveraging legacy code to deploy desktop applications on the web	339	354	2008	113	Operating Systems Design and Implementation	['World Wide Web', 'Computer science', 'Machine code', 'Porting', 'Legacy code', 'Plug-in', 'Abstraction layer', 'OpenGL', 'Operating system', 'Python (programming language)', 'Source lines of code']
15901	A pedestrian navigation method for user's safe and easy wayfinding	156	165	2013	4	International Conference on Human-Computer Interaction	['Visibility', 'Route planning', 'Computer science', 'Navigation system', 'Pedestrian navigation', 'Human–computer interaction', 'Cognitive model', 'Salience (language)', 'Landmark', 'Valuation (finance)']
16022	Algorithms for the Construction of Digital Convex Fuzzy Hulls.	325	330	2007	0	European Society for Fuzzy Logic and Technology Conference	['Convexity', 'Computer science', 'Fuzzy logic', 'Algorithm', 'Convex hull', 'Fuzzy set', 'Regular polygon', 'Hull', 'Centroid']
